RestaurantName_name,RestaurantName_users_selection1,RestaurantName_users_names
The Brick Pub & Grill,"Very good food
Crab cakes were amazing gourmet
The Philly cheese was very tender and juicy",Mike C.
The Brick Pub & Grill,,Michelle M.
The Brick Pub & Grill,,Kim W.
The Brick Pub & Grill,,Eric O.
The Brick Pub & Grill,,Mike H.
The Brick Pub & Grill,,Amira J.
The Brick Pub & Grill,,Kristy R.
The Brick Pub & Grill,"Good food, in a location you wouldn't expect. I drove up to meet a friend and just assumed it was a gas station. I've now been twice and all the items I have tried were very good.",Amber Lee A.
The Brick Pub & Grill,,Lena Y.
The Brick Pub & Grill,,Chelsi A.
The Brick Pub & Grill,"Came here on a Sunday night with a few friends. It's was around 8pm.
Place was pretty slow with a couple other patrons. Server was welcoming and pretty cool. We had a table by the window. There was a lot of space.
I had a cocktail called Rob Roy. It was average.
Appetizer was crab cakes. It was surprisingly a lot. Came with 2 patties the size of a bk whopper.
Entree was was seared ahi tuna. It was decent. Tuna tasted fresh. Visually, it looked pretty light. But it got me pretty full. Maybe because the crab cakes were so huge. Overall, I can't give too many points for vibes, since it was a Sunday night. Flavors for pretty average, but quality of ingredients keep it above average. I'd say if you're looking for a chill place to have a conversation, this is a good place. If you're a flavor hunter, it's pretty average.",Henry L.
The Brick Pub & Grill,"Food was good, beers were cold service was a bit slow but it all worked out. Good atmosphere, friendly staff, fair food portions. Good place to chill.",Mike S.
The Brick Pub & Grill,,Deanna D.
The Brick Pub & Grill,The Brick recently changed their menu again. I miss the Cajun chicken sandwich. I only eat white meat and was glad to have this on the menu. The have since removed it. I asked the server if I could have the chicken sandwich from the old menu and he said yes. WHoooHOOOO. Unfortunately when it came out it is not the same sandwich. It is sliced chicken on a bun. This does not make a good sandwich. The pieces kept falling out of the bread. It was a horrible way to eat. The original was the reason I came to the brick repeatedly. Since that sandwich is gone I don't find anything comparable on the menu. Guess I will have to find another Cajun chicken somewhere else.,Leslie W.
The Brick Pub & Grill,"Our second visit to the Brick Pub. First visit a few months back was not bad.
It took at least 15 minutes for the waiter to come to our table. We ordered drinks and dinner. It took around another 10 minutes for the waiter to bring the drinks over. She was doubling as a bartender too. It took around 40 more minutes to get our food...that's almost an hour since we got there. Not acceptable. Fish from fish and chips was over fried and hard. My wife's flank steak order was sirloin tip according to her, and it was pink on the inside though she ordered it medium well.
All in all, we were pretty disappointed...",Stephen G.
The Brick Pub & Grill,,Brad B.
The Brick Pub & Grill,"Best dang pork chop I've ever had!
From the outside it looks a little sketchy, but this was a VERY good restaurant! A must try!!
Great beers, good happy hour, even better food!
Thanks "" the brick""",Koren C.
The Brick Pub & Grill,"This place was SO good. The owner is really cool and the music is always fun.
With that said...
I have now had three bad meals in a row and I am ready to stop trying. That is big bucks I will never get back. How do you screw up a BLT? The bacon was so overcooked that it was more like burnt bacon dust than meat. The ""Philly cheese steak"" was not good and didn't even come with the advertised aioli sauce. My fries sucked and were cold. How on Earth can you make a bad cheese steak? I don't even remember what they screwed up before that but I still remember the dissapointment coupled with a 70 dollar check.
I have had everything on the menu in the past and it ALL used to be good.
Now, I am afraid to order anything.
I sure hope they fix it back to the way it was. There is nothing like this place in the highlands.",Senor C.
The Brick Pub & Grill,"Just wanted to thank the blonde haired girl and bearded guy working tonight for showing racism. We walked in approx 30 mins ago and sat down at the table next to the bar. No acknowledgement even though both of them looked straight at us. Blonde girl started cleaning one of the machines and the bearded guy just kept talking to his friends. We sat the table for 15 mins and neither of them brought a menu or said Hi to us. After I began staring at the girl wondering why we were being ignored, a white couple came in and sat at the bar. Within 30 seconds he had poured them waters and took their order. He made their drinks and we had yet to be greeted or brought a drink menu. Every person in the bar was white including the couple that came in. Coincidence??? Thank you for ruining our evening and reaffirming that asian people are not welcome at the pub.",Rich L.
The Brick Pub & Grill,"We found this gem on Yelp, and another fantastic find it was. It has local beer on tap that my husband really liked and I had a ""Fru-Fru"" drink the Lavender Mule which was amazing. As if the great drinks weren't enough the food was just as amazing. Ordered the Pastrami Melt and it was some of the best tasting pastrami I have had.
The waitress was very informative and helpful, she knew her products and had answers to all our our questions.
This place is quite a find and it is worth the visit.",Andrea I.
Mean Sandwich,,Ran L.
Mean Sandwich,,Jean K.
Mean Sandwich,,Ahmed F.
Mean Sandwich,,Heather W.
Mean Sandwich,,Maddy L.
Mean Sandwich,,Morgan J.
Mean Sandwich,,Samer K.
Mean Sandwich,,Vijay S.
Mean Sandwich,,Alyssa M.
Mean Sandwich,,Maggie R.
Mean Sandwich,,Sheri C.
Mean Sandwich,,Brendan c.
Mean Sandwich,,Scott X.
Mean Sandwich,,Tom C.
Mean Sandwich,,Tori Z.
Mean Sandwich,"Mean Sandwich is a high quality sandwich place in the south end of Seattle's Ballard. It serves a limited range of well-produced sandwiches.
The restaurant is in an easy location to reach near the bridge. Parking nearby is limited and we were lucky to find a space in relatively short walking distance. We had come for a late lunch so it wasn't too busy.
Inside there is a very limited set of seating. This is a place that probably works best for takeout, since I wouldn't have felt really confident we could sit down, and don't want to let my food get cold. Service was counter-style, and friendly.
The menu is very limited. I knew this going in, but when faced with the actual choices, there are really only two that appeal to me much and really only one I definitely want.
There is a very appealing sounding side (fried potato lumps called skins and ins). This is exactly the sort of thing I typically love, but it was a bit overcooked and oversalted and I liked it but didn't love it, which was the big disappointment of the visit. I had expected this to be the high point.
When the sandwich arrived, it was great quality. I had a Buon Appetito (chicken). The bread is super - which I think is what tends to be most important. Not too sweet or soft. Great bread. The filling was a bit less exciting. It tasted like pretty normal sandwich fare. Not bad in any way, but not amazing. The portions were giant. With the skins, both of us had about twice as much food as we needed for a lunch and should have shared (except that we wanted completely different things).
Overall, this is a pretty good sandwich place. Much better than most of the regular chains or local places. If something from their tiny selection appeals to you, I recommend a visit. I doubt we'll be going very often, because we didn't bond with the choices we made and there isn't much more we want to try.",Martyn L.
Mean Sandwich,,Amanda E.
Mean Sandwich,"Are you in the mood for a really exceptional sandwich experience? Then I highly recommend Mean Sandwich and do get The Mean and an order of fries. The burger is really good. I'm looking forward to trying the other items on the menu and I'm thinking they'll be pretty good. Staff is very friendly (parking can be a bit tough, but there is street parking).",J B.
Mean Sandwich,,David B.
Mean Sandwich,,Dominique S.
Due’ Cucina Italiana,"I called this evening to verify their cacio e pepe is vegetarian, and it is! yay!
I ordered the cacio e pepe and a slice of sourdough bread through uber eats. The flavor of the cacio e pepe is quite different from what I've had before, I think it's the aged cheese that really made the difference. It was delicious though! The pasta was perfectly cooked (& fresh!) and the 'sauce' still had a really good pepper flavor. The sourdough also came with a light drizzle of olive oil and salt which complemented the pasta perfectly.
Only downside was the temperature, but that's a given with delivery. Definitely looking forward to being able to visit once everything is back open, as this was my first time trying their food. I'm for sure going to order some fresh pasta for home in the future too.",Karrissa D.
Due’ Cucina Italiana,,Andrea O.
Due’ Cucina Italiana,,Becca H.
Due’ Cucina Italiana,"Thank goodness this place delivers all the way to Kirkland! I miss eating out in Seattle so I was super thankful and appreciative that we were in the delivery area.
I ordered the kale pesto campanelle and it was amazing!! I would definitely order this again. It was cooked perfectly - nice and chewy. My partner ordered the eggplant parm and he was a little disappointed with the portion size; it came in a tiny little box. He was jealous of my kale pesto pasta which I hesitantly shared with him. We shared the tiramisu at the end of our meal and it was fantastic, one of the best tiramisu I have had in awhile. Definitely planning on ordering here more while this pandemic is going on. Highly recommend!",Jen H.
Due’ Cucina Italiana,,Richard U.
Due’ Cucina Italiana,,Holly L.
Due’ Cucina Italiana,,Marie B.
Due’ Cucina Italiana,Ordered from here for the first time last night. Had delivered and dropped at the front door. Everything was timely manor and tasted great! Can't wait to try more,Theresa L.
Due’ Cucina Italiana,,Julia L.
Due’ Cucina Italiana,,Pauli D.
Due’ Cucina Italiana,,Edward A.
Due’ Cucina Italiana,,Yvonne Yiyao X.
Due’ Cucina Italiana,"I have ordered this twice to be delivered to my office using uber eats. This is the best italian pasta I have eaten in Seattle with the exception of Barolo. The pasta is definitely made freshly from scratch and cooked perfectly al dente chewy.
My favorite dish is the mushroom and truffle oil pasta The first time, i went with another reviewer's suggestion and added pork. I decided I liked it better without pork since pork was flavorful but a little greasy.
Last time I ordered a pasta with another type of ragu and it was also great but needing cheese. Make sure you request extra cheese if you order this pasta.
I would pass on ordering any of the breads.",Cristina G.
Due’ Cucina Italiana,,Brianna F.
Due’ Cucina Italiana,,Derek H.
Due’ Cucina Italiana,,Monica L.
Due’ Cucina Italiana,,Tracy C.
Due’ Cucina Italiana,,Jen L.
Due’ Cucina Italiana,,Melody Y.
Due’ Cucina Italiana,,chara c.
Pomodoro,"Yummy, with big portions. Had takeout during the Covid epidemic, and during this time they are offering 20% off to go orders -- even for wine. I can only imagine how it would be even better for a sit down visit and can't wait for the chance to go back during better times.",Sarah M.
Pomodoro,"We ordered takeout yesterday due to the quarantine of the city. The food was absolutely delicious. Some of the best Italian food we have ever had and so welcome during these challenging times. Chef Antolin is the best at his craft.
We will definitely be calling in another order soon. For everyone who wants a truly first class meal please support this restaurant and their staff.
Thank you for making our dinner and evening so enjoyable at home.",Dan T.
Pomodoro,"Why are these restaurants only in Seattle?
It's as if all these great chefs slaved away in the industry for years, and one day woke up and said, you know what? I'm going to buy a small place, house, bottom floor of a building with three chiropractic offices, and just run my own small kitchen where I can float casually between the pan my guests tables, regaling them with stories of my cooking career and adventures, all the while wowing them with absolutely incredible dishes.
What Zouave is for Italian with a hint of southern French flair, Pomodoro is for Italian with a decidedly Spanish/Mediterranean coastline lean.
The chef knocks it out of the park every time we go here, and the service in largely impeccable, but more so when the chef is hanging around your table.
Outside of traveling abroad, we rarely do a full bottle of wine at dinner in the US, as dinners are often so rushed. Not here. And we always take the chefs recommendation on a bottle once we've decided which of his incredible meals we will take on for the evening.
My personal favorites are the Capellini with the fresh dungeness crab (insanely good) and the puttanesca with prawns. And yes, you should absolutely take the chefs recommended additional spice from his special habanero olive oil that you've read about, or if you're lucky and he has it, his secret truffle oil.
We have two places we go every week or two in Seattle, Canon for drinks and dinner, and Pomodoro for the slightly early dinner on weekends, especially rainy ones where you want nothing more than comfort food, smiles and great red wine.",Mike V.
Pomodoro,,David P.
Pomodoro,,Chris A.
Pomodoro,,Thao N.
Pomodoro,,Nicole A.
Pomodoro,,Janhavi B.
Pomodoro,,Jordan N.
Pomodoro,,Jacqueline H.
Pomodoro,,Heidi L.
